codfigurafiscal,descfigurafiscal,indr
5,ISENTO,
6,SUBSTITUICAO,
7,TRIBUTADO 7%,
12,TRIBUTADO 12%,
18,TRIBUTADO 18%,
25,TRIBUTADO 25%,
30,TRIBUTADA 30%,
4,TRIBUTADA 4%,
1,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para qualquer Estado,
2,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para AC,
3,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para AL,
8,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para DF,
9,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para ES,
10,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para GO,
11,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para MA,
13,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para MS,
14,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para MT,
15,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para PA,
16,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para PB,
17,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para PE,
19,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para PR,
20,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para RJ,
21,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para RN,
22,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para RO,
23,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para RR,
24,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para RS,
26,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para SE,
27,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para SP,
28,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para qualquer Destino para TO,
29,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para qualquer Estado,
31,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para AL,
32,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para AM,
33,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para AP,
34,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para BA,
35,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para CE,
36,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para DF,
37,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para ES,
38,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para GO,
39,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para MA,
40,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para MG,
41,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para MS,
42,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para MT,
43,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para PA,
44,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para PB,
45,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para PE,
46,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para PI,
47,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para PR,
48,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para RJ,
49,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para RN,
50,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para RO,
51,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para RR,
52,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para RS,
53,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para SC,
54,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para SE,
55,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para SP,
56,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Ṇo Contribuinte para TO,
57,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para qualquer Estado,
58,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para AC,
59,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para AL,
60,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para AM,
61,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para AP,
62,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para BA,
63,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para CE,
64,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para DF,
65,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Varejo Contribuinte para ES,
119,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para CE,
120,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para DF,
121,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para ES,
122,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para GO,
123,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para MA,
124,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para MG,
125,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para MS,
126,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para MT,
127,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para PA,
128,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para PB,
129,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para PE,
130,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para PI,
131,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para PR,
132,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para RJ,
133,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para RN,
134,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para RO,
135,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para RR,
136,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para RS,
137,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para SC,
138,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para SE,
139,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para SP,
140,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Saida Atacado Simples Nacional para TO,
141,De qualquer origem Classifica̤̣o Lucro Real de qualquer Origem para Industrializa̤̣o para qualquer Estado,
