codigo,ncmsh,categoria,descricao,ipi,vigencia_inicio,vigencia_fim,un_tributada,un_tributada_descricao,observacao,usultalteracao,dtultimalteracao,dtcadastro
32100030,32100030,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","PIGMENTOS A AGUA PREPARADOS,UTILIZ.P/ACABAM.DE COUROS",10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.559986
32110000,32110000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",SECANTES PREPARADOS,10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.569053
32121000,32121000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",FOLHAS PARA MARCAR A FERRO,10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.578337
32129010,32129010,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","ALUMINIO EM PO,ETC.EMPASTADO C/SOLVENTE HIDROCARBONETO",10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.587523
32129090,32129090,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","OUTS.PIGMENTOS DISPERS.MEIOS N/AQUOSOS,EST.LIQUIDO,ETC.",10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.596570
32131000,32131000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","CORES EM SORTIDOS,P/PINTURA ARTISTICA,ATIVID.EDUCAT.ETC",10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.605783
32139000,32139000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","OUTS.CORES P/PINTURA ARTISTICA,ATIVIDADE EDUCATIVA,ETC.",10,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.617019
32141010,32141010,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","MASTIQUE DE VIDRACEIRO,CIMENTOS DE RESINAS,OUTS.MASTIQ.",2,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.626393
32141020,32141020,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",INDUTOS UTILIZADOS EM PINTURA,2,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.635684
32149000,32149000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",INDUTOS N/REFRATARIOS DO TIPO UTILIZADOS EM ALVENARIA,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.644808
32151100,32151100,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER","TINTAS PRETAS,DE IMPRESSAO",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.654631
32151900,32151900,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",OUTROS TINTAS DE IMPRESSAO,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.664044
32159000,32159000,"EXTRATOS TANANTES E TINTORIAIS, TANINOS E SEUS DERIVADOS, PIGMENTOS E OUTRAS MATÉRIAS CORANTES, TINTAS E VERNIZES, MÁSTIQUES, TINTAS DE ESCREVER",TINTAS DE ESCREVER OU DE DESENHAR E OUTS.TINTAS,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.673534
33011210,33011210,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OLEO ESSENCIAL,DE PETIT GRAIN DE LARANJA",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.682959
33011290,33011290,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OUTROS OLEOS ESSENCIAIS,DE LARANJA",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.692058
33011300,33011300,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OLEO ESSENCIAL,DE LIMAO",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.701340
33011910,33011910,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OLEO ESSENCIAL,DE LIMA",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.713149
33011990,33011990,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OLEO ESSENCIAL,DE OUTS.CITRICOS",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.722303
33012400,33012400,"ÓLEOS ESSENCIAIS E RESINOIDES, PRODUTOS DE PERFUMARIA OU DE TOUCADOR PREPARADOS E PREPARAÇÕES COSMÉTICAS","OLEO ESSENCIAL,DE HORTELA-PIMENTA (MENTHA PIPERITA)",5,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:19.731712
30033921,30033921,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO LH-RH (GONADORELINA),EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.502211
30033922,30033922,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO OXITOCINA,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.511552
30033923,30033923,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO SAIS DE INSULINA,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.520527
30033924,30033924,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO TIMOSINAS,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.531697
30033925,30033925,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO OCTREOTIDA,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.540759
30033926,30033926,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO GOSERELINA OU SEU ACETATO,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.549829
30033927,30033927,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO NAFARELINA OU SEU ACETATO,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.559202
30033929,30033929,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO C/OUTS.HORMON.POLIPEPTIDICOS,ETC.EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.567995
30033931,30033931,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.HEMISSUCCINATO DE ESTRADIOL,EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.577501
30033932,30033932,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.FEMPROPIONATO DE ESTRADIOL,EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.586599
30033933,30033933,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.ESTRIOL OU SEU SUCCINATO,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.595962
30033934,30033934,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO ALILESTRENOL,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.604890
30033935,30033935,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO LINESTRENOL,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.613751
30033936,30033936,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO ACETATO DE MAGESTROL, FORMESTANO, FULVESTRANTO, EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.623821
30033937,30033937,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONTENDO DESOGESTREL,EXC.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.632774
30033939,30033939,PRODUTOS FARMACÊUTICOS,MEDICAMENTO CONT.OUTS.ESTROGENIOS/ PROGESTOGEN.EXC.DOSES,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.644181
30033981,30033981,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT. LEVOTIROXINA SÓDICA, EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.653406
30033982,30033982,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT. LIOTIRONINA SÓDICA, EXC.DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.662326
30033991,30033991,PRODUTOS FARMACÊUTICOS,MEDICAMENTO CONTENDO SAL SÓDICO OU ÉSTER METÍLICO (...),0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.671339
30033992,30033992,PRODUTOS FARMACÊUTICOS,MEDICAMENTO CONT.TIRATRICOL OU SEU SAL SÓDICO,0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.680344
30033994,30033994,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.ESPIRONOLACTONA,NAO APRESENT.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.689452
30033995,30033995,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.EXEMESTANO,NAO APRESENT.EM DOSES",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.698526
30033999,30033999,PRODUTOS FARMACÊUTICOS,"MEDICAMENTO CONT.OUTS.HORMONIOS/ DERIVS.ETC.EXC.EM DOSES, MAS NÃO CONTENDO ANTIBIÓTICOS",0,2016-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.707290
30034010,30034010,PRODUTOS FARMACÊUTICOS,"MED.C/VIMBLASTINA,VINCRISTINA,ETC.Ñ.DOS./RET",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.716299
30034020,30034020,PRODUTOS FARMACÊUTICOS,"MED.C/PILOCARPINA NITRATO,CLORIDRATO Ñ D./R.",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.725348
30034030,30034030,PRODUTOS FARMACÊUTICOS,MED.C/METANOSSULFONATO D/DIIDROERGOCRIST.,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.734265
30034040,30034040,PRODUTOS FARMACÊUTICOS,"MED.C/CODEÍNA OU SEUS SAIS, Ñ DOSES, Ñ RET.",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.743178
30034050,30034050,PRODUTOS FARMACÊUTICOS,"MED.C/GRANISETRON,TROPISETRONA,CLORID.Ñ DOS./RET.",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.755153
30034090,30034090,PRODUTOS FARMACÊUTICOS,"MED.C/ALC.,DER.S/HORM., Ñ DOSES, Ñ RETALHOS",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.764149
30034100,30034100,PRODUTOS FARMACÊUTICOS,QUE CONTENHAM EFEDRINA OU SEUS SAIS,0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.773295
30034200,30034200,PRODUTOS FARMACÊUTICOS,QUE CONTENHAM PSEUDOEFEDRINA (DCI) OU SEUS SAIS,0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.782027
30034300,30034300,PRODUTOS FARMACÊUTICOS,QUE CONTENHAM NOREFEDRINA OU SEUS SAIS,0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.790703
30034910,30034910,PRODUTOS FARMACÊUTICOS,"VIMBLASTINA, VINCRISTINA, DERIVADOS DESTES PRODUTOS, TOPOTECAN OU SEU CLORIDRATO",0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.799494
30034920,30034920,PRODUTOS FARMACÊUTICOS,"PILOCARPINA, SEU NITRATO OU SEU CLORIDRATO",0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.808760
30034930,30034930,PRODUTOS FARMACÊUTICOS,METANOSSULFONATO DE DIIDROERGOCRISTINA,0,2017-01-01T00:00:00,,KG,QUILOGRAMA,,,,2018-03-02T17:29:15.817492
38249034,38249034,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,OUTS.PREP.C/BORR.PLÁST.C/POLIETILENOAMINAS,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.140369
38249035,38249035,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,"MISTURAS DE MONO-,DI- E TRIISOPROPANOLAMINAS",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.149616
38249036,38249036,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,RETICULANTES PARA SILICONES,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.158909
38249039,38249039,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,"OUTS.PREP.C/BORR.PLÁST.E P/END.RES.SINT.,COLA",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.168363
38249041,38249041,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,PREP.DESINCRUSTANTES ANTICOR./ANTIOXIDANTES,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.178389
38249042,38249042,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,MIST.EUTÉTICA DE DIFENILA E ÓXIDO DE DIFENILA,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.187993
38249043,38249043,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,"MIST.CONTENDO TRIMETIL-3,9-DIETILDECANO",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.197524
38249049,38249049,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,OUTROS FLUIDOS P/TRANSFERÊNCIA DE CALOR,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.208823
38249051,38249051,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,ANTIESPUMANTES COM FOSFATO TRIBUTILA,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.218526
38249052,38249052,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,MISTURAS DE POLIETILENOGLICÓIS,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.227809
38249053,38249053,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,POLIPROPILENOGLICOL LÍQUIDO,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.237155
38249054,38249054,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,RETARD.D/CHAMA C/MIST.D/TRIFENILFOSFAT.ISOPR.,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.247384
38249059,38249059,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,OUTS.MIST.C/ÉSTERES D/ÁCIDOS INORGÂNICOS,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.256811
38249071,38249071,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,"CAL SODADA, CARBONATO DE CÁLCIO HIDRÓFUGO",,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.266536
38249072,38249072,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,PREPARAÇÕES À BASE DE SÍLICA EM SUSPENSÃO,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.276406
38249073,38249073,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,PREP. À BASE DE CARBETO DE VOLFRÂMIO,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.286202
38249074,38249074,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,PREP. À BASE DE HIDRÓXIDO DE NÍQUEL/CÁDMIO,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.296183
38249075,38249075,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,PREP.UTILIZS.NA ELABORAÇÃO MEIOS D/CULTURA,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.305598
38249076,38249076,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,COMPOST.ABSORV.Á BASE MET.P/TUB.VÁLV.ELÉTR.,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.315356
38249077,38249077,PRODUTOS DIVERSOS DAS INDÚSTRIAS QUÍMICAS,ADUBOS/FERTILIZANTES FOLIARES C/ZINCO/MANGANÊS,,2016-01-01T00:00:00,2017-03-31T00:00:00,KG,QUILOGRAMA,,,,2018-03-02T17:29:24.327651
