codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
9,1944.104,CAIXA ECONOMICA FEDERAL,CAPINOPOLIS-MG,,,,,,,,,
10,0280.389,MERCANTIL,ITBA-MG,,,,,,,,,
11,0269.001,BANCO DO BRASIL,JABOTICABAL-SP,,,,,,,,,
12,0753.341,ITAU,S VITORIA-MG,,,,,,,,,
13,2319.001,BANCO DO BRASIL,MTE ALEGRE-MG,,,,,,,,,
14,0277.048,BEMGE,CANAPOLIS-MG,,,,,,,,,
15,0125.104,CAIXA ECONOMICA FEDERAL,ITBA-MG,,,,,,,,,
16,2938.001,BANCO DO BRASIL,APORE-GO,,,,,,,,,
17,0239.048,BEMGE,PRATA-MG,,,,,,,,,
18,0180.048,BEMGE,ITBA-MG,,,,,,,,,
19,0288.341,ITAU,CUIABA-MT,,,,,,,,,
20,0676.048,BEMGE,CAPINOPOLIS-MG,,,,,,,,,
21,0330.334,ECON/EXCEL,UDI-MG,,,,,,,,,
22,0173.048,BEMGE,GURINHATA-MG,,,,,,,,,
23,0175.048,BEMGE,IPIACU-MG,,,,,,,,,
24,2593.001,BANCO DO BRASIL,S VITORIA-MG,,,,,,,,,
25,0589.237,BRADESCO,S SIMAO-GO,,,,,,,,,
26,3780.001,BANCO DO BRASIL,GURINHATA-MG,,,,,,,,,
27,2494,CAIXA ECONOMICA FEDERAL,UBERLANDIA - MG,,3,2022-05-11T14:36:39,,,104,,,
28,2481.237,BRADESCO,PAULO DE FARIA-SP,,,,,,,,,
29,2995.001,BANCO DO BRASIL,JUIZ FORA-MG,,,,,,,,,
30,2035.001,BANCO DO BRASIL,PARNAMIRIM-RN,,,,,,,,,
31,0096.031,BEG,ITAJA-GO,,,,,,,,,
32,0098.001,BANCO DO BRASIL,UDI-MG,,,,,,,,,
33,0578.001,BANCO DO BRASIL,MOGI MIRIM-SP,,,,,,,,,
34,3019.001,BANCO DO BRASIL,BOM JARD-GO,,,,,,,,,
35,0691.001,BANCO DO BRASIL,CAMP VERDE-MG,,,,,,,,,
36,3483.001,BANCO DO BRASIL,PCA TAMANDARE-GO,,,,,,,,,
37,0031.001,BANCO DO BRASIL,BARRETOS-SP,,,,,,,,,
38,1701.399,BMU,LIMEIRA OESTE-MG,,,,,,,,,
39,1417.341,ITAU,CACU-GO,,,,,,,,,
40,0017.479,BOSTON,UDI-MG,,,,,,,,,
41,0161.104,CAIXA ECONOMICA FEDERAL,UDI-MG,,,,,,,,,
42,0318.038,BANESTADO,UDI-MG,,,,,,,,,
43,0221.048,BEMGE,PATOS MINAS-MG,,,,,,,,,
44,0010.033,BANESPA,CAMPINAS-SP,,,,,,,,,
45,0656.341,ITAU,GOIANIA-GO,,,,,,,,,
46,0650.001,BANCO DO BRASIL,PRATA-MG,,,,,,,,,
47,1838.104,CAIXA ECONOMICA FEDERAL,CACU-GO,,,,,,,,,
48,1501.001,BANCO DO BRASIL,UDI-MG,,,,,,,,,
49,0379.237,BRADESCO,BEBEDOURO-SP,,,,,,,,,
50,0590.341,ITAU,B H-MG,,,,,,,,,
51,0154.237,BRADESCO,GUARULHOS-SP,,,,,,,,,
52,1043.001,BANCO DO BRASIL,CENTRALINA-MG,,,,,,,,,
53,0665.347,SUDAMERIS,UDI-MG,,,,,,,,,
54,2438.237,BRADESCO,CAPINOPOLIS-MG,,,,,,,,,
55,0836.001,BANCO DO BRASIL,CACU-GO,,,,,,,,,
56,1001.001,BANCO DO BRASIL,UDI-MG/MARTIN,,,,,,,,,
57,3641.001,BANCO DO BRASIL,S SIMAO-GO,,,,,,,,,
58,2918.001,BANCO DO BRASIL,UDI-MG/STA MO,,,,,,,,,
59,1879.237,BRADESCO,TUPACIGUARA-MG,,,,,,,,,
60,0016.477,CITBANK,RIB PRETO-SP,,,,,,,,,
61,2403.104,CAIXA ECONOMICA FEDERAL,BRASILIA-DF,,,,,,,,,
62,0611.104,CAIXA ECONOMICA FEDERAL,MORRINHOS-GO,,,,,,,,,
63,0010.031,BEG,FIRMINOPOLIS-GO,,,,,,,,,
64,1502.001,BANCO DO BRASIL,CANAPOLIS-MG,,,,,,,,,
65,0178.031,BEG,CACU-GO,,,,,,,,,
66,0128.048,BEMGE,CAMPESTRE-MG,,,,,,,,,
67,0698.341,ITAU,ITUVERAVA-SP,,,,,,,,,
68,0268.048,BEMGE,UDI-MG,,,,,,,,,
69,0156.031,BEG,S SIMAO-GO,,,,,,,,,
70,0526.00?,CREDIRURAL,QUIRIN-GO,,,,,,,,,
71,1441.341,ITAU,FRUTAL-MG,,,,,,,,,
72,0853.001,BANCO DO BRASIL,ITURAMA-MG,,,,,,,,,
73,0050.341,ITAU,RIO CLARO-SP,,,,,,,,,
74,1062.104,CAIXA ECONOMICA FEDERAL,CAMP VERDE-MG,,,,,,,,,
75,1121.104,CAIXA ECONOMICA FEDERAL,MTE ALEGRE-MG,,,,,,,,,
76,2402.237,BRADESCO,PRATA-MG,,,,,,,,,
77,0319.033,BANESPA,S PAULO-SP,,,,,,,,,
78,1235.104,CAIXA ECONOMICA FEDERAL,PRATA-MG,,,,,,,,,
79,0148.341,ITAU,UDI-MG,,,,,,,,,
80,0810.237,BRADESCO,IACIARA-GO,,,,,,,,,
81,0015.001,BANCO DO BRASIL,UBERABA-MG,,,,,,,,,
82,0063.031,BEG,QUIRIN-GO,,,,,,,,,
83,2945.001,BANCO DO BRASIL,ASA SUL-DF,,,,,,,,,
