codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
502,0021.031,BEG,PARAUNA,,,,,,,,,
503,3915.001,BANCO DO BRASIL,ITARUMA,,,,,,,,,
504,1575.104,CAIXA ECONOMICA FEDERAL,GOIANIA,,,,,,,,,
505,0697.104,CAIXA ECONOMICA FEDERAL,MARAU-RS,,,,,,,,,
506,0627.356,BANCO REAL,GOIATUBA,,,,,,,,,
507,0466.399,HSBC,RONDONOPOLIS,,,,,,,,,
508,1943.104,CAIXA ECONOMICA FEDERAL,SAO LUIS DE MONTES B,,,,,,,,,
509,3862.001,BANCO DO BRASIL,INACIOLANDIA,,,,,,,,,
510,4359.341,ITAU,JATAI,,,,,,,,,
511,1370.001,BANCO DO BRASIL,CHAPADA-RS,,,,,,,,,
512,4343.341,ITAU,CALDAS NOVAS,,,,,,,,,
513,0000.000,IND.,RIO VERDE,,,,,,,,,
514,1697.001,BANCO DO BRASIL,CAIBATE-RS,,,,,,,,,
515,0709.104,CAIXA ECONOMICA FEDERAL,MONTE CARMELO,,,,,,,,,
516,4307.341,ITAU,QUIRINOPOLIS,,,,,,,,,
517,3054.756,CREDI-RURAL COM,RIO VERDE,,,,,,,,,
589,01,BRASIL,RIO VERDE,,,,,,,,,
593,01015,LN,0101,,,,,,,,,
595,06599,BANCO DO BRASIL,MINEIROS GO,,,,,,,,,
597,19,BANCO TRIANGULO S/A,UBERLANDIA-MG,,,,,,,,,
101,2445.237,BRADESCO,S VITORIA-MG,,,,,,,,,
102,0082.033,BANESPA,BRASILIA-DF,,,,,,,,,
103,0127.003,AMAZONIA,PALMAS-TO,,,,,,,,,
104,0878.399,BMU,CACERES-MT,,,,,,,,,
105,0447.275,BANCO REAL,PARANAIGUARA-GO,,,,,,,,,
106,0531.399,BMU,UDI-MG,,,,,,,,,
107,0010.282,BBC,INACIOLANDIA-GO,,,,,,,,,
108,1245.237,BRADESCO,QUIRIN-GO,,,,,,,,,
109,1356.341,ITAU,PARANAIBA-MS,,,,,,,,,
110,0193.424,NOROESTE,UDI-MG,,,,,,,,,
111,3416.001,BANCO DO BRASIL,VICENTINOPOLIS-GO,,,,,,,,,
112,3603.001,BANCO DO BRASIL,BRASILIA-DF,,,,,,,,,
113,0542.275,BANCO REAL,BEBEDOURO-SP,,,,,,,,,
114,2245.341,ITAU,UDI-MG,,,,,,,,,
115,0646.001,BANCO DO BRASIL,ANA ROSA-SP,,,,,,,,,
116,0712.001,BANCO DO BRASIL,S PAULO-SP,,,,,,,,,
117,0185.237,BRADESCO,SERTAOZINHO-SP,,,,,,,,,
118,1343.399,BMU,GOIATUBA-GO,,,,,,,,,
119,3255.237,BRADESCO,ITURAMA-MG,,,,,,,,,
120,0481.033,BANESPA,IPUA-SP,,,,,,,,,
121,2203.237,BRADESCO,ARCOS-MG,,,,,,,,,
122,1341.104,CAIXA ECONOMICA FEDERAL,UDI-MG,,,,,,,,,
123,3675.001,BANCO DO BRASIL,GOUVELANDIA-GO,,,,,,,,,
124,0678.048,BEMGE,COMEND GOMES-MG,,,,,,,,,
125,2381.001,BANCO DO BRASIL,PAINS-MG,,,,,,,,,
126,3288.237,BRADESCO,ITUMBIARA-GO,,,,,,,,,
127,0308.001,BANCO DO BRASIL,ITAJUBA-MG,,,,,,,,,
128,0182.033,BANESPA,GUAIRA-SP,,,,,,,,,
129,2147.237,BRADESCO,GOIANIA-GO,,,,,,,,,
130,0109.215,AMERIC SUL,UDI-MG,,,,,,,,,
131,0611.048,BEMGE,CENTRALINA-MG,,,,,,,,,
132,0250.237,BRADESCO,JATAI-GO,,,,,,,,,
133,0571.001,BANCO DO BRASIL,BARRA GARCAS-MT,,,,,,,,,
134,3114.237,BRADESCO,AV PAULISTA-SP,,,,,,,,,
135,0160.048,BEMGE,UDI-MG,,,,,,,,,
136,0209.341,ITAU,JATAI-GO,,,,,,,,,
137,0066.033,BANESPA,BEBEDOURO-SP,,,,,,,,,
138,0587.341,ITAU,B H-MG,,,,,,,,,
139,1551.237,BRADESCO,ITUVERAVA-SP,,,,,,,,,
140,0781.048,BEMGE,UDI-MG,,,,,,,,,
141,0041.031,BEG,CACH ALTA-GO,,,,,,,,,
142,0520.275,BANCO REAL,UDI-MG,,,,,,,,,
143,1341.125,CAIXA ECONOMICA FEDERAL,GOIANIA-GO,,,,,,,,,
144,0068.392,MERCANTIL,BARRETOS-SP/FINASA,,,,,,,,,
145,0035.031,BEG,ITUMBIARA-GO,,,,,,,,,
146,0422.001,BANCO DO BRASIL,FRUTAL-MG,,,,,,,,,
147,0091.237,BRADESCO,SANTANA-URB/SP,,,,,,,,,
148,1940.237,BRADESCO,ALM TAMANDARE-GO,,,,,,,,,
149,1010.399,BMU,ITURAMA-MG,,,,,,,,,
150,0311.237,BRADESCO,CAMPONAS-SP,,,,,,,,,
151,0148.031,BEG,PARANAIGUARA-GO,,,,,,,,,
152,0213.399,BMU,S PAULO-SP,,,,,,,,,
153,0748.399,BMU,PARAISO TOCANTINS-GO,,,,,,,,,
154,0737.237,BRADESCO,SERRANOPOLIS-GO,,,,,,,,,
155,0019.001,BANCO DO BRASIL,ILHEUS-BA,,,,,,,,,
156,0086.001,BANCO DO BRASIL,GOIANIA-GO,,,,,,,,,
157,0931.399,BMU,BRASNORTE-MT,,,,,,,,,
158,0130.031,BEG,S BARBARA-GO,,,,,,,,,
159,0012.031,BEG,GOIATUBA-GO,,,,,,,,,
160,0744.399,BMU,UBERABA-MG,,,,,,,,,
161,0028.033,BANESPA,S JOAQ BARRA-SP,,,,,,,,,
162,0491.001,BANCO DO BRASIL,GOIATUBA-GO,,,,,,,,,
163,1540.237,BRADESCO,IPORA-GO,,,,,,,,,
164,0605.237,BRADESCO,CAMAPINAS-SP,,,,,,,,,
165,0045.031,BEG,JOVIANIA-GO,,,,,,,,,
166,0517.399,BMU,N PONTE-MG,,,,,,,,,
167,0067.003,BASA,BARRA GARCAS-MT,,,,,,,,,
168,0626.237,BRADESCO,CACU-GO,,,,,,,,,
169,0517.499,NACIONAL ,BARRETOS-SP,,,,,,,,,
170,0060.392,FINASA,ARACATUBA-SP,,,,,,,,,
171,0441.275,BANCO REAL,BRASILIA-DF,,,,,,,,,
172,0769.399,BMU,QUIRINOPOLIS-GO,,,,,,,,,
173,1454.341,ITAU,ITURAMA-MG,,,,,,,,,
174,1220.399,BMU,CAMPO GRANDE-MS,,,,,,,,,
175,0514.399,BMU,ITUMBIARA-GO,,,,,,,,,
176,1382.104,CAIXA ECONOMICA FEDERAL,LAGOA PRATA-MG,,,,,,,,,
177,1229.001,BANCO DO BRASIL,B H-MG,,,,,,,,,
178,0195.424,NOROESTE,CUIABA-MT,,,,,,,,,
179,0792.048,BEMGE,HONOROPOLIS-MG,,,,,,,,,
180,0332.341,ITAU,RIB PRETO-SP,,,,,,,,,
181,0206.275,BANCO REAL,R JANEIRO-RJ,,,,,,,,,
182,1006.341,ITAU,QUIRIN-GO,,,,,,,,,
183,0342.341,ITAU,ITUMBIARA-GO,,,,,,,,,
184,0110.031,BEG,NOVO BRASIL-GO,,,,,,,,,
185,1249.104,CAIXA ECONOMICA FEDERAL,CASSILANDIA-MS,,,,,,,,,
186,3485.001,BANCO DO BRASIL,S GENOVEVA-GO,,,,,,,,,
187,0109.048,BEMGE,B H-MG,,,,,,,,,
188,0654.341,ITAU,BRASILIA-DF,,,,,,,,,
189,0190.341,ITAU,S PAULO-SP,,,,,,,,,
190,0764.334,ECON/EXCEL,UBERABA-MG,,,,,,,,,
191,0055.070,BRB,UDI-MG,,,,,,,,,
192,0106.033,BANESPA,PAULO FARIA-SP,,,,,,,,,
193,0214.048,BEMGE,N RESENDE-MG,,,,,,,,,
194,0450.237,BRADESCO,S PAULO-SP,,,,,,,,,
195,1910.104,CAIXA ECONOMICA FEDERAL,UDI-MG,,,,,,,,,
196,0002.048,BEMGE,B H-MG,,,,,,,,,
197,1483.341,ITAU,REDENCAO-PA,,,,,,,,,
198,1901.237,BRADESCO,UDI-MG,,,,,,,,,
199,0164.031,BEG,???-GO,,,,,,,,,
200,3252.237,BRADESCO,FRUTAL-MG,,,,,,,,,
201,0380.001,BANCO DO BRASIL,PARACATU-MG,,,,,,,,,
202,0628.048,BEMGE,ARCOS,,,,,,,,,
203,0366.001,BANCO DO BRASIL,MTE CARMELO-MG,,,,,,,,,
204,0088.291,BCN,UBERABA-MG,,,,,,,,,
205,1063.104,CAIXA ECONOMICA FEDERAL,DORES DO INDAIA-MG,,,,,,,,,
206,0086.420,BANORTE,UDI-MG,,,,,,,,,
207,0021.033,BANESPA,BARRETOS-SP,,,,,,,,,
208,1685.001,BANCO DO BRASIL,CACH ALTA-GO,,,,,,,,,
209,0311.275,BANCO REAL,S J R PRETO-SP,,,,,,,,,
210,0804.001,BANCO DO BRASIL,PARAISO-TO,,,,,,,,,
211,3596.001,BANCO DO BRASIL,BRASILIA-DF,,,,,,,,,
212,0822.275,BANCO REAL,ALAM ARAGUAIA,,,,,,,,,
213,1475.341,ITAU,PATROCINIO-MG,,,,,,,,,
214,1078.001,BANCO DO BRASIL,ITAPEGIPE-MG,,,,,,,,,
215,1141.399,BMU,BRASILIA-DF,,,,,,,,,
216,0632.001,BANCO DO BRASIL,IPORA-GO,,,,,,,,,
217,1005.341,ITAU,MINEIROS-GO,,,,,,,,,
218,0047.031,BEG,PALESTINA GOIAS-GO,,,,,,,,,
219,0171.022,BANCO REAL,UDI-MG,,,,,,,,,
220,0051.031,BEG,JUSSARA-GO,,,,,,,,,
221,0451.033,BANESPA,S PAULO-SP,,,,,,,,,
222,0001.033,BANESPA,S PAULO-SP,,,,,,,,,
223,0418.399,BMU,GOIANIA-GO,,,,,,,,,
224,0106.031,BEG,CAMPO ALEGRE-GO,,,,,,,,,
225,0954.104,CAIXA ECONOMICA FEDERAL,QUIRIN-GO,,,,,,,,,
226,0894.001,BANCO DO BRASIL,ARCOS-MG,,,,,,,,,
227,0167.275,BANCO REAL,ITUMBIARA-GO,,,,,,,,,
228,1871.237,BRADESCO,ALTO GARCAS-MT,,,,,,,,,
229,0118.341,ITAU,PARANAGUA-PR,,,,,,,,,
230,0177.392,FINASA,UDI-MG,,,,,,,,,
231,2540.341,ITAU,UDI-MG,,,,,,,,,
232,1443.341,ITAU,GOIATUBA-GO,,,,,,,,,
233,0485.415,NACIONAL,UDI-MG,,,,,,,,,
234,0546.399,BMU,GOIANIA-GO,,,,,,,,,
235,1012.237,BRADESCO,ARAPORA-MG,,,,,,,,,
236,0623.031,BEG,MAIRIPOTABA-GO,,,,,,,,,
237,0652.237,BRADESCO,BOM JARDIM-GO,,,,,,,,,
238,2970.001,BANCO DO BRASIL,RONDONO-MT,,,,,,,,,
239,0335.237,BRADESCO,GUAIRA-SP,,,,,,,,,
240,1051.001,BANCO DO BRASIL,CRISTALINA-GO,,,,,,,,,
241,0035.422,SAFRA,LONDRINA-PR,,,,,,,,,
242,1292.237,BRADESCO,CAMPINAPOLIS-MT,,,,,,,,,
243,0162.048,BEMGE,FRUTAL-MG,,,,,,,,,
244,0273.151,N BCO/CX,ITIRAPUA-SP,,,,,,,,,
245,0278.409,UNIBANCO,UDI-MG,,,,,,,,,
246,0931.001,BANCO DO BRASIL,ITAJA-GO,,,,,,,,,
247,2119.237,BRADESCO,GOIANIA-GO,,,,,,,,,
248,0869.341,ITAU,GOIANIA-GO,,,,,,,,,
249,0932.001,BANCO DO BRASIL,ITANHAEM-SP,,,,,,,,,
250,0025.353,GERAL COM,S J R PRETO-S,,,,,,,,,
251,0054.001,BANCO DO BRASIL,BEBEDOURO-SP,,,,,,,,,
252,0039.070,BRB,ITUMBIARA-GO,,,,,,,,,
253,0211.275,BANCO REAL,NATAL-RN,,,,,,,,,
254,0248.048,BEMGE,RIB PRETO-SP,,,,,,,,,
255,0521.275,BANCO REAL,UDI-MG,,,,,,,,,
256,0681.001,BANCO DO BRASIL,MAUA-SP,,,,,,,,,
257,0033.001,BANCO DO BRASIL,B H-MG,,,,,,,,,
258,1537.104,CAIXA ECONOMICA FEDERAL,UDI-MG,,,,,,,,,
259,1228.001,BANCO DO BRASIL,CARLOS PRATES/BH-MG,,,,,,,,,
260,1505.001,BANCO DO BRASIL,PALMAS-TO,,,,,,,,,
261,0811.001,BANCO DO BRASIL,VALINHOS-SP,,,,,,,,,
262,0171.424,NOROESTE,GOIANIA-GO,,,,,,,,,
263,3484.001,BANCO DO BRASIL,ITUMBIARA-GO,,,,,,,,,
264,0826.048,BEMGE,CARNEIRINHO-MG,,,,,,,,,
265,0668.237,BRADESCO,N XAVANTINA-MT,,,,,,,,,
266,0096.237,BRADESCO,MAL DEODORO-SP,,,,,,,,,
267,2983.001,BANCO DO BRASIL,UDI-MG,,,,,,,,,
268,2777.001,BANCO DO BRASIL,VIRADOURO-SP,,,,,,,,,
269,1985.237,BRADESCO,VIRADOURO-SP,,,,,,,,,
270,0093.003,BASA,GUARAI-TO,,,,,,,,,
271,0827.399,BMU,P LACERDA-MT,,,,,,,,,
272,0906.399,BMU,REDENCAO-PA,,,,,,,,,
273,1696.104,CAIXA ECONOMICA FEDERAL,ARCOS-MG,,,,,,,,,
274,1095.001,BANCO DO BRASIL,V BELA S TRINDADE-MT,,,,,,,,,
275,0579.399,BMU,SERRANA-SP,,,,,,,,,
276,0313.001,BANCO DO BRASIL,JATAI-GO,,,,,,,,,
277,1509.341,ITAU,XINGUARA-PA,,,,,,,,,
278,1393.399,BMU,MOGI-GUACU-SP,,,,,,,,,
279,0045.341,ITAU,S J R PRETO-S,,,,,,,,,
280,0442.341,ITAU,BATATAIS-SP,,,,,,,,,
281,0062.048,BEMGE,B H-MG,,,,,,,,,
282,0210.070,BRB,BRASILIA-DF,,,,,,,,,
283,0452.001,BANCO DO BRASIL,BRASILIA-DF,,,,,,,,,
284,0076.003,BASA,CONC ARAGUAIA-PA,,,,,,,,,
600,1671,SANTANDER,PARACATU,,,,,,,,,
621,2591-7,BANCO DO BRASIL,UBERLANDIA,,102,2023-09-14T11:54:37,2023-07-26T15:40:28,25917,1,3500121,17,1
640,9278,ITAU,UBERLANDIA - MG,,102,2024-01-31T20:28:15,2024-01-31T20:28:15,,109,,,
660,3167,SANTANDER,ITUMBIARA-GO,,1,2024-09-10T14:11:19,2024-09-10T14:11:19,0,33,,,
680,102010,TESTE,QUARAQUATATUBA,,1,2025-05-19T08:43:09,2025-05-19T08:43:09,101010,40028922,1010101,,
