codfamilia,descricao,tipo
5406,AGUA OXIGENADA ONLY,P
5407,MASCARA BIOHAIR 1KG,P
5408,LIMP PERFUMADO AZULIM 1L,P
5409,ODORIZADOR ONLY 360ML,P
5423,NECTAR DELVALLE 900ML,P
5443,DOCE ABELHINHA 700G,P
5444,DOCE ABELHINHA 700G ESPECIAL,P
5483,IOG APRECIARE WHEY 24G,P
5503,BISC FLAMBOYANT RECH,P
5504,BISC FLAMBOYANT WAFER,P
5505,BISC FLAMBOYANT 400G,P
5506,IOG TREVINHO 900G,P
5507,IOG TREVINHO ZERO 900G,P
5508,IOG TREVINHO 180G,P
5523,SUCO MAGUARY 150ML,P
5543,VINHO PERGOLA BORDO 1L,P
5000,MOLHO MARS SALADA 234G,P
5001,MOLHO MARS CREM 34G,P
5020,RACAO PURINA DOG CHOW 100G,P
5223,ACTIVIA 150G,P
5323,LASANHA PERDIGAO 600,P
5383,MARTINI 750ML,P
5509,REFRIGERANTE MINEIRO 269ML,P
5603,BISC TORTINI 90G,P
5604,VINHO CANCAO COLLER 750ML,P
5703,DELVALLE NECTAR 250ML,P
5704,ROCA BARBANTE ARTESAO,P
5763,FAR SAMAPI TEMP 350G,P
5764,GELIA BEM ACOMPANHADO 210G,P
5765,MR MUSCULO LIMP PERF 500ML,P
5766,LUSTRA MOV BRAVO 200ML,P
5767,OLEO PEROBA 100ML,P
5768,SIDRA CERESER,P
5769,MOLHO TOM POMAROLA SACHE 340G,P
5770,PALHA ACO ASSOLAN,P
5771,PATE COQUEIRO 170G,P
5803,QUALY 250G,P
5843,IOG TREVINHO 1300G,P
5844,IOG QJO QUARK 100G,P
5643,BISC DANIX,P
5683,BISC WAFER AMANDA 110G,P
5684,BISC AMANDA RECH 110G,P
5685,BISC RECH HIPOPO 110G,P
5723,HERSHEYS SPECIAL DARK 100G,P
5823,LIMP PISO AZULIM PERF,P
5863,AMAC MON BIJU 5L,P
5563,TRIDENT 9S,P
5743,COOKIES TODDY,P
5783,COOKIES WICKBOLD 60G,P
5784,TA PRONTO WICKBOLD 300G,P
5583,TRIDENT 18S,P
5584,BISC LACTA 90G,P
5623,COND TRESEMME 200ML,P
5624,"ELIMINADOR CASAFLOR PET 1,75",P
5663,COOKIES FLAMBOYANT,P
5664,AROMA CASAFLOR 240ML,P
5665,NEWCAR POLITRIZ 60G,P
2024,COND JOHNSONS 200ML,D
2140,SUCO DAFRUTA 200ML,P
2040,VIM CLORO ADIT 750ML,D
2120,BOLO CANECA,P
2240,SAB LIQ AXE,D
2080,SORVETE NESTLE ESPECIAIS,D
2200,REFIL BOM AR WICK,P
2020,ABS CAREFREE 40UN,D
2021,ABS CAREFREE 60UN,D
2022,PROTETOR DIARIO INTIMUS DAYS 15UN,D
2023,DESOD AROMA AR POLITRIZ,D
2101,FLV FRACIONADOS,S
1213,BALCAO DEGUSTACAO ,P
1214,SALG ELMA ,P
1215,SALG ELMA ,P
1216,DESOD AXE ROLLON,P
1217,DESOD DOVE ,P
1218,FRALDA DESC ,P
1219,ABS INTERNO INTIMUS,P
1220,CR DENT COLGATE ,P
1221,BISC SALG ,P
1222,JUNCO FORMA ,P
1223,FILE SARDINHA ,P
1224,IOG NESTLE ,P
1225,BISC SALG ,P
1226,ATUM SANTA ,P
1227,SARDINHA SANTA ,P
1228,MIST BOLO ,P
1229,JUNCO BALOES ,P
1230,DELICIAS CARNE ,P
1231,COND COLORAMA ,P
1232,BISC WAFER ,P
1233,PAPINHA NESTLE ,P
1234,HAMBURGUER ,P
1235,SH GARNIER ,P
1236,REPARADOR ,P
1237,SH PANTENE ,P
1238,SH BIO EXTRATUS ,P
1239,SORVETE NESTLE ,P
1240,TINT WELLATON ,P
1241,SH JUVENA ,P
1242,LIMP SANIT ,P
1243,TINT GARNIER ,P
1244,CHICLE TRIDENT ,P
1245,CR DENT CLOSE ,P
1246,MIST BOLO ,P
1247,CREME VEG ,P
1248,BISC AMANT ,P
1249,CERA INGLEZA ,P
1250,TINT SEDA ,P
1251,BALA ERLAN ,P
1252,DESOD DOVE AER,P
1253,CR DENT CLOSE ,P
1254,BEB MISTA ,P
1255,SH KANEC VITA ,P
1256,COND KANEC ,P
1257,LOCAO CREM ,P
1258,CREME TRAT GARNIER,P
1259,CHA PRETO ,P
1260,GELATINA MAITA ,P
1262,COND PHYTOERVAS ,P
1263,CREME PENT GARNIER,P
1264,BISC WAFER ,P
1265,CHICLE TRIDENT ,P
1266,CHICLE TRIDENT ,P
1267,ESSENCIA POLITRIZ ,P
1268,BEBIDA LACTEA ,P
1269,SACO LIXO ,P
1270,JUNCO VELAS ,P
1271,JUNCO PAPEL ,P
1272,JUNCO FAIXA ,P
1273,JUNCO PRATO ,P
1274,SOBREM MOCA ,P
1275,IOG NESTLE ,P
1276,DESINF PINHO ,P
1277,SH DENOREX ,P
1278,DESOD HERBISSIMO ,P
1279,DETERG POLITRIZ ,P
1280,IOG NESTLE ,P
1281,DESOD GELLUS ,P
1282,DETERG MINUANO ,P
1283,DESINF MINUANO ,P
1284,MAC REIMASSAS ,P
1285,MIST BOLO ,P
1286,MIST BOLO ,P
1287,MAC INST REIMASSAS ,P
1288,BISC BAUDUCCO ,P
1289,BISC BAUD ,P
1290,SUCO DEL VALLE ,P
1291,CALDO MAGGI ,P
1292,SOPA MAGGI ,P
1293,SOPAO MAGGI ,P
1294,SAND IPAN ,P
1295,SNACKS GOOD ,P
1296,GOODCOOKIES ,P
1297,AMAC MINUANO ,P
1298,GOODCOOKIES ,P
1299,GOODCOOKIES ,P
1300,GOODCOOKIES ,P
1301,LEITE LONGA ,P
1302,BISC RECH ,P
1303,SH CEBOLINHA ,P
1304,SUCO KAPO ,P
1305,BISC RECH ,P
1306,DESOD NUSS ,P
1307,DESOD CORPO ,P
1308,CHICLE CHICLETS ,P
1309,HIGIPORO LIMP ,P
1310,SAB LIQ NIVEA ,P
1311,AMAC CASABELLA ,P
1312,JUNCO BALAO ,P
1313,LIMP TOT. ,P
1314,CEREAL RITTER ,P
1315,CERA POLITRIZ ,P
1316,MANTEIGA CALU ,P
1317,CR PENT AROMA ,P
1318,SH PHYTOERVAS ,P
1319,COND OX USO ,P
1320,ROCAMBOLE ,P
1321,TORRADA BAUDUCCO ,P
1322,DESOD FRANCIS ,P
1323,ODORIZ GLADE ,P
1324,SALG ELMA ,P
1325,SAND IPAN ,P
1326,SAND IPAN ,P
1327,LUSTRA MOV ,P
1328,DESOD AXE AER,P
1329,CREME PENT DOVE 200ML,P
1330,SOPA INST ,P
1331,COND DARLING ,P
1332,CORANTE LIQ ,P
1333,SAND IPAN ,P
1334,SAND IPAN ,P
1335,SAND IPAN ,P
1336,BISC MABEL ,P
1337,SAND IPAN ,P
1338,BOLINHO BAUDUCCO ,P
1339,BOLO GULOSOS ,P
1340,LIMP PERF ,P
1341,LENCOS UMED ,P
1342,SUCO ALL DAY ,P
1343,ELIM ODOR ,P
1344,FRALDA DESC ,P
1345,BISC BAUDUCCO ,P
1346,TINT FLEURY ,P
1347,TINT MAXTON ,P
1348,OVOS SAITO ,P
1349,GUARANA COTUBA ,P
1350,ESPUMA BARBEAR ,P
1351,CERA DEPIL ,P
1352,CERA BRAVO ,P
1353,MAC STA AMAL ,P
1354,CREME ORIGEM ,P
1355,SAPOLIO RADIUM ,P
1357,LIMP OPTIMUM ,P
1358,BISC BAUDUCCO ,P
1359,SH FRANCIS ,P
1360,SAB LIQ PALMOLIVE ,P
1361,BISC BAUD ,P
1362,CERA BRAVO ,P
1363,VINHO CAMPO ,P
1364,MAC STA AMAL ,P
1365,SAB LIQ DAVENE ,P
1366,SAB PALMOLIVE ,P
1367,SAB PROTEX ,P
1368,SH NEUTROX ,P
1369,COND NEUTROX ,P
1370,LIMP AJAX ,P
1371,SH XUXINHA ,P
1372,TALCO TENYS ,P
1373,IOG DANONE ,P
1374,AMAC COMFORT ,P
1375,VINHO CHATEAU ,P
1376,SAB LUX SUAVE ,P
1377,SAB POM POM ,P
1378,COND GARNIER ,P
1379,VINHO STA ,P
1380,SALG ELMA ,P
1381,JUNCO VELAS ,P
1382,CR DENT COLGATE ,P
1383,JUNCO VELAS ,P
1384,LEITE LONGA ,P
1385,DESINF MINUANO ,P
1386,SH BIO EXTRATUS ,P
1387,COND BIO EXTRATUS ,P
1388,SH PALM NAT ,P
1389,GELATINA OETKER ,P
1390,LIMP RESOLV ,P
1391,CONCHA GRANDE ,P
1392,LIMP VEJA ,P
1393,HALLS SUGAR ,P
1394,SALG ELMA ,P
1395,BISC TORTINI ,P
1396,BISC WAFER ,P
1397,DESOD REXONA ,P
1398,CREME PENT PALMOLIVE 300,P
1399,MAC REIMASSAS ,P
1400,DOCE FAMA ,P
1401,CERA NUGGET ,P
1402,GELATINA OETKER ,P
1403,TINT ERVAS ,P
1404,SUCO C/ SOJA ,P
1405,BISC RECH ,P
1406,COND SEDA ,P
1407,MARG QUALY ,P
1408,SH SEDA SELECTIVE ,P
1409,VINHO SALTON ,P
1410,PIZZA PIF ,P
1411,DESOD REXONA ,P
1412,PAO FORMA ,P
1413,PAO WICKBOLD ,P
1414,PAO CENTEIO ,P
1415,BOLO CASA ,P
1416,BOLO CASA ,P
1417,PAO NAT TRIG ,P
1418,PAO S/ CASCA ,P
1419,PAO FORMA ,P
1420,PAO P/ HAMBURGUER ,P
1421,VOLLKORN BROT ,P
1422,TORRADA WICKBOLD ,P
1423,BOLO CASA ,P
1424,MOLHO KENKO ,P
1425,MOLHO KENKO ,P
1426,COBERTURA ,P
1427,PAO SIRIO ,P
1428,CR DENT CLOSE ,P
1429,LOCAO HIDRAT ,P
1430,SORVETE KIBON ,P
1431,AMAC POLYLAR ,P
1432,DETERG PO ,P
1433,FRALDA DESC ,P
1434,COND SEDA ,P
1436,SAB FRANCIS ,P
1437,APAR BARB ,P
1438,SAB LUX LUXO ,P
1439,CHOC GAROTO ,P
1440,TEMP MAIS ,P
1441,SAB GESSY ,P
1442,SH GARNIER ,P
1443,LASANHA PIF ,P
1444,CHOC HERSHEYS ,P
1445,ESPONJA PONJITA ,P
1446,CATCHUP JUREMA ,P
1447,GELATINA OETKER ,P
1448,SH KOLENE ,P
1450,PO SORVETE ,P
1451,CR DENT CLOSE ,P
1452,DESOD BANHO ,P
1453,SALG ELMA ,P
1454,JUNCO VELAS ,P
1455,GELATINA ROYAL ,P
1456,CREME VEG ,P
1457,PRESERVATIVO ,P
1458,SAB ALBANY ,P
1459,AGUARD NECTAR ,P
1460,DOCE LEITE ,P
1461,DOCE LEITE ,P
1462,BARBANTE S ,P
1463,COND PALMOL ,P
1464,MASCARA BIO ,P
1465,SABAO QUADRO ,P
1466,PURIF BOM ,P
1467,MASSA FRESCARINI ,P
1468,CERA SAPATO ,P
1469,LIMP CASA ,P
1470,FRALDA DESC ,P
1471,ESMALTE COLORAMA ,P
1472,COND PAIXAO ,P
1473,ESMALTE ANA ,P
1474,DOCE LEITE ,P
1475,SORVETE KIBON ,P
1476,SAND IPAN ,P
1477,TEMP TOK KNORR ,P
1478,OLEO COMPOSTO ,P
1479,CALDO MAGGI ,P
1480,PUDIM OETKER ,P
1481,SH DAVENE ,P
1482,GELATINA OETKER ,P
1483,CEREAL NUTRY ,P
1484,ALHO PURO ,P
1485,SOPAO ARISCO ,P
1486,DETERG PO ,P
1487,LOCAO NIVEA ,P
1488,PAPEL HIG ,P
1489,MOLHO CHURRASCO ,P
1490,BISC LAM MARILAN ,P
1491,SH INF SNOOPY ,P
1492,CEREAL NUTRY ,P
1493,AMAC COMFORT ,P
1494,IOG NESTLE ,P
1495,CHOC NESTLE ,P
1496,IOG NESTLE ,P
1497,LIMP VEJA ,P
1498,IOG NESTLE ,P
1499,CREME TRAT TRESSEME 1KG,P
1500,CHUV DUCHAS ,P
1501,SAB FRANCIS ,P
1502,DETERG PO ,P
1503,LOCAO FACIAL ,P
1504,IOG ITAMBE ,P
1505,BEBIDA LACT ,P
2420,A,S
2480,FAROFA NATIVA DE MINAS,P
2500,GLADE GASS AP 8G,R
2560,SBP AUTOMAT REFIL,P
2563,BOM AR AIR WICK 16ML,P
2580,JUNCO FORMA PAPEL 100UN,P
2620,SALG ELMA LAYS 30G,P
2680,PASTILHA ADESIVA HARPIC 3N,P
2684,SAB LIQ DETTOL REFIL 250ML,P
2780,SH DOVE BABY REFIL 180ML,P
2865,AZEITONA RIVOLI RECH 130G,P
2960,SAB LIQ LUX REFIL 220ML,P
2961,CR TRAT TRESEMME 400G,P
2980,DANONE LIQ 900G,P
3260,SH JOHNSON BABY 200ML,P
3320,DANONE FAMILIA 1.350KG,P
3360,HOT HIT SEARA 145G,P
3361,ASSIM ASSADO TOSCANO,P
3400,MAC FLAMBOYANT OVOS 500G,P
3560,ODORIZ GLADE AUTOM REFIL 269ML,P
3640,CHANDELLE CHANTILLY 200G,P
3641,IOG NESTLE GREGO 90G,P
3740,LYSOFORM 500ML,P
3741,LYSOFORM 1L,P
2280,LIMP VEJA 30% GRATIS,D
2300,MAC STA AMALIA SPECIALE,P
2320,LIMP PISO CASA FLOR POLITRIZ 1L,P
2400,CARNES SWIFT,S
2440,OLEO COMPOSTO MARIA 500ML,P
2442,SAND HAVAIANA BRASIL,P
2544,KIBON LIGHT,P
2600,NOVA ONDA 2L,P
2641,SH TRESEMME 400ML,P
2740,BISCOITO AYMORE 375G,P
2760,SAPONACEO CIF REFIL 100ML,P
2784,SAB LIQ DOVE BABY 200ML,P
2800,IOG MOLICO 400G,P
2842,CREME AVELA FLORMEL 150G,P
2900,FRALDA DESC CREMER PACOTINHO,P
2901,BEB LACTEA PIRACANJUBA 200ML,P
2920,COND PANTENE 200ML,P
3020,WHISKAS 85G,P
3021,PETISCO DREAMYES 40G,P
3022,PEDIGREE LATA 290G,P
3160,VEJA LIMPEZA PESADA 500ML,P
3161,BISCOITO POLVILHO NAZINHA 100G,P
3162,SEQUILHOS NAZINHA 150G,P
3163,PIMENTA FOGO MINEIRO 60ML,P
3460,REXONA COMPRIM 56G/85ML,P
3461,DOVE COMPRIM 54G/85ML,P
3540,SHAKE LINEA 450G,P
3541,SHAKE LINEA 400G,P
3580,GELEIA RITTER 310G,P
3600,GREGO PAULI 95G,P
3620,VINHO SERRA NEVADA 750ML,P
3660,DESOD SUAVE 95G/160ML,P
3680,SORVETE CREME MEL 2L,P
3681,SORVETE CREME MEL 450G,P
3742,FRALDA DESC MILI JUMBO,P
2340,CON MONANGE 350ML,P
2380,GLADE GEL CAR 70G,P
2460,RACAO LEROY 1KG,P
2501,GLADE REF 8G,P
2540,KIBON 3 SELECOES,P
2543,KIBON SORVETERIA 1.5L,P
2562,LEROY COCKTEL,P
2564,PATO PASTILHA 3UN,P
2702,GREGO VIGOR 100G,P
2781,SH DOVE BABY 200ML,P
2782,SH DOVE BABY 400ML,P
2783,SAB DOVE BABY 75G,P
2820,AMPOLA ELSEVE 15ML,P
2840,CHA FEEL GOOD 1L,P
2845,DANONE PED 400G,P
2880,PAPINHA HEINZ 113G,P
2940,MAGGI SUCULENTO 25G,P
3000,COOKIES BAUDUCCO 140G,P
3001,DETOX 20G,P
3060,FRALDA DESC T MONICA PROMOCIONAL,P
3080,SH GARNIER ANTICASPA 200ML,P
3180,TEMPERAFACIL KODILAR 32G,P
3200,TUB WAFER MONTEVERGINE 48G,P
3340,CANTO MINAS 180G,P
3341,ALIM DE SOJA CANTO MINAS 500ML,P
3342,BEB LACTEA CANTO MINAS 540G,P
3420,DETERG LIQ AZULIM 500ML,P
3440,MAC BARILLA 500G,P
3462,MULTIUSO BRILHANTE 500ML,P
3500,BOMGUY RACAO 300G,P
3520,DANONE ACTIVIA LIGHT 900G,P
3521,DANONE DAN UP 300G,P
3720,ACTIVIA 400G LIGHT,P
2260,MAIONESE LIZA SACHE 196G,P
2360,SAB PROTEX LV6 PG5,P
2441,OLEO COMPOSTO MARIA 500ML,P
2541,KIBON BLAST,P
2542,KIBON CREMOSISSIMO,P
2561,BOM AR VELA AROMAT,P
2681,BOM AR AIR WICK 345ML,P
2682,BOM AR CLICK AP,P
2701,DELVALLE 100% 200ML,P
2720,LASANHA SEARA 600G,P
2721,PIZZA SEARA 460G,P
2841,DOCE FLORMEL ZERO ACUCAR 210G,P
2843,ALIMENTO CEMIL C/SOJA 1L,P
2863,"CHA CARMENCITA 37,5G",P
2864,VINAGRE LA PASTINA VINHO 500ML,P
2866,RUFFLES SENSACOES 90G,P
3040,PEDIGREE 100G,P
3100,MOLHO TOSCANO 240ML,P
3120,WHISKAS 290G,P
3121,ALIM C/SOJA MAIS VITA 1L,P
3164,CROKISSIMO 90G,P
3165,CROKISSOMO 500G,P
3220,IOG CORPUS GREGO 100G,P
3300,SUCO MAIS 1L,P
3480,CEREAL LINEA 25G,P
3481,CEREAL LINEA 75G,P
3482,GELATINA LINEA 10G,P
3483,GELEIA LINEA 230G,P
3542,DANONE GREGO 100G,P
2520,ITUBAINA,P
2640,DESOD JOHNSONS ROLLON 50ML,P
2660,BOM AR NATURE PERF,P
2683,BOM AR WICK 80G,P
2700,DELVALLE 100% 1L,P
2844,BEBIDA FRUT 1.5L,P
2860,LA PASTINA NA BRASA 145G,P
2861,MOLHO ITAL LA PASTINA 320G,P
2862,CROSTINI LA PASTINA 200G,P
2867,DANONE GREGO 400G,P
3140,MANUTENCAO PREDIAL,S
3240,FELTRIN SEMENTES UN,P
3280,FRISKIES 1KG,P
3281,FRISKIES 85G,P
213,PRODUTOS TERCEIROS PAES,S
214,PRODUTOS PAES INTEGRAIS,S
215,PIZZA RESFRIADA TERCEIRIZADA,S
216,PRODUT. TERCEIR. TORTAS E BOLOS,S
217,PRODUT DE TERCEIROS BISCOITOS,S
218,"PRODUT DETERCEIROS PANETTONES, COLOMBAS",S
219,PRODUT DETERCEIROS OUTROS,S
220,LANCHONETE,G
221,SALGADINHOS LANCHONETE,S
222,DOCES LANCHONETE,S
223,SUCOS/VITAMINA LANCHONETE,S
224,CAFE EM GERAL LANCHONETE,S
225,REFRIGERANTES LANCHONETE,S
226,SANDUICHES,S
227,SALADA DE FRUTAS,S
228,TORTAS FATIA,S
229,PIZZA/EMPADAO,S
230,ROTISSERIA,G
231,ASSADOS EM GERAL,S
232,PRATOS PRONTOS,S
233,ACOUGUE,D
234,ACOUGUE,G
235,CARNES BOVINAS,S
236,CARNES SUINAS,S
237,CARNES AVES CORTES,S
238,FRANGO INTEIRO RESFRIADO,S
239,CARNES TEMPERADAS,S
240,CARNES ESPECIAIS,S
241,"SALSICHA, LINGUICA A GRANEL",S
242,SALGADOS,S
243,"CARNES ASSADAS (BOV, SUI E AVES)",S
244,PEIXARIA,G
245,PEIXES,S
246,FRUTOS DO MAR,S
247,BACALHAU,S
249,HORTIFRUTI,D
250,HORTIFRUTI,G
251,FRUTAS,S
252,VERDURAS,S
253,LEGUMES,S
254,OVOS DE GALINHA,S
255,OUTROS OVOS,S
256,ORGANICOS/HIDROPONICOS,S
257,ALHO,S
258,BEBIDAS,D
259,DESTILADAS,G
260,AGUARDENTES,S
261,APERITIVOS AMARGOS,S
262,APERITIVOS DOCES/VERMOUTH,S
263,CHAMPAGNE/ESPUMANTE/SIDRA,S
264,CONHAQUE,S
265,LICORES,S
266,VODKA/RUM/GIN/TEQUILA/SAKE,S
267,WHISKY IMPORTADO,S
268,WHISKY NACIONAL,S
269,VINHOS,G
270,VINHO NACIONAL,S
271,VINHO IMPORTADO,S
272,VINHO GARRAFAO,S
273,CERVEJAS,G
274,CERVEJA LATA 350,S
275,CERVEJA LATAO,S
276,CERVEJA GRF ATE 250ML,S
277,CERVEJA GARRAFA 600ML,S
278,CERVEJA GARRAFA LITRO,S
279,NAO ALCOOLICAS,G
280,AGUAS,S
281,ENERGETICOS/ISOTONICOS,S
282,REFRESCO PO ENVELOPES,S
283,REFRESCO PO 240 GR,S
284,REFRESCO PO 1 KG,S
285,SUCO CONCENTRADO,S
286,SUCOS PRONTOS,S
287,SUCOS INTEGRAIS,S
288,XAROPES,S
289,REFRIGERANTES,G
290,REFRIGERANTE CACULA ATE 250ML,S
291,REFRIGERANTE GARRAFA,S
292,REFRIGERANTE LATA,S
293,REFRIGERANTE 500/600 ML.,S
294,REFRIGERANTE PET COLAS,S
295,REFRIGERANTE PET GUARANA,S
296,REFRIGERANTE PET SABORES,S
297,PERFUMARIA,D
298,ABSORVENTES,G
299,ABSORVENTES C/ ABAS,S
300,ABSORVENTES S/ ABAS,S
301,ABSORVENTES ESPECIAIS,S
302,HIGIENE CORPORAL,G
303,PAPEL HIGIENICO C/ 4,S
304,PAPEL HIGIENICO C/ 8,S
305,PAPEL HIGIENICO,S
306,FRALDA GERIATRICA,S
307,ESPONJAS / ESCOVAS BANHO,S
308,HASTES FLEXIVEIS,S
309,LENCOS UMEDECIDOS,S
310,HIGIENE BEBE,G
311,FRALDAS P/ BEBE,S
312,OLEOS,S
313,SABONETES,S
314,SHAMPOO,S
212,PAD. PRODUTO TERCEIROS,G
315,TALCOS,S
316,CREMES PARA ASSADURAS,S
317,ARTIGOS DIVERSOS P/ BEBES,S
318,SHAMPOO,G
319,MEDICINAIS,S
320,SHAMPOO ATE 250 ML,S
321,SHAMPOO ACIMA DE 250 ML,S
322,DESODORANTES,G
323,DESOD. AEROSOIS,S
324,DESOD. CREMES,S
325,DESOD. ROLLON,S
326,DESOD. SPRAYS,S
327,SABONETES,G
328,SABONETES LIQUIDOS,S
329,SABONETES ATE 90 GR,S
330,SABONETES ACIMA DE 90 GR,S
331,HIGIENE BUCAL,G
332,CREME DENTAL ATE 90 GR,S
333,CREME DENTAL ACIMA 90 GR,S
334,ESCOVAS DE DENTES,S
335,ENXAGUANTE BUCAL,S
336,FIO DENTAL,S
337,FARMACIA,G
338,ALGODAO,S
339,CURATIVOS,S
340,OUTROS FARMACOS,S
341,PRESERVATIVOS,S
342,COSMETICOS,D
343,BRONZEADORES,G
344,LOCOES BRONZEADORAS,S
345,FILTROS SOLARES,S
346,OLEOS BRONZEADORES,S
347,HIDRATANTES,G
348,CREMES HIDRATANTES,S
349,LOCOES HIDRATANTES,S
350,COLONIAS,G
351,COLONIAS E PERFUMES,S
352,TALCOS,S
353,PRODUTOS CAPILARES,G
354,CONDICIONADORES ATE 250 ML,S
355,CONDICIONADORES ACIMA DE 250ML,S
356,CREMES P/ HIDRAT. E RELAXAMENTO,S
357,CREMES P/ PENTEAR MENOS DE 01 KG,S
358,CREMES P/ PENTEAR 01 KG E ACIMA,S
359,"GEL, FIXADORES E MOUSSES",S
360,TINTURAS,S
361,ACESSORIOS CAPILARES,S
362,PROD. MANICURE,G
363,ACETONA/AGUA OXIGENADA,S
364,ESMALTES,S
365,MAQUIAGEM,S
366,ACESSORIOS MANICURE,S
367,ACESSORIOS DEPILACAO,S
368,BARBEARIA,G
369,APARELHOS DESCARTAVEIS,S
370,CREMES E LOCOES P/ BARBEAR,S
371,LAMINAS (REFIL),S
372,ACESSORIOS BARBEARIA,S
373,LIMPEZA,D
374,LIMPEZA DE PISOS,G
375,LIMPEZA DE PISOS,S
376,CERAS LIQUIDAS,S
377,CERAS EM PASTA,S
378,REMOVEDORES PISO,S
379,LIMPEZA DE BANHEIROS,G
380,DESINFETANTES ATE 500 ML,S
381,DESINFETANTES ACIMA 500 ML,S
382,DESODORIZADORES,S
383,LIMPEZA PESADA,S
384,LIMPEZA DE COZINHA,G
385,DESENGORDURANTES,S
386,DESENTUPIDORES DE PIAS,S
387,DETERGENTES LIQUIDOS E GEL,S
388,LIMPADORES ALUMINIO E INOX,S
389,LIMPA FORNO,S
390,SAPONACEOS LIQUIDOS,S
391,SAPONACEOS PASTA E PO,S
392,PRODUTOS P/ LAVA LOUCAS,S
393,ESPONJAS,G
394,ESPONJAS DE ACO,S
395,ESPONJAS SINTETICAS,S
396,LIMPEZA DA CASA,G
397,LIMPEZA GERAL,S
398,MULTI USO,S
399,ALCOOL EM GERAL,S
400,LIMPA VIDROS,S
401,PURIFICADORES DE AR,S
402,LAVANDERIA (ROUPAS),G
403,SABAO EM PO ATE 500 GR,S
404,SABAO EM PO 1 KG,S
405,SABAO LIQUIDO,S
406,SABAO EM BARRA,S
407,"AMACIANTES ROUPAS ATE 1,5 L",S
408,"AMACIANTES ROUPAS ACIMA 1,5 L",S
409,AGUA SANITARIA,S
410,ALVEJANTES E CLORO,S
411,"CORANTES, TIRA MANCHAS, GOMA",S
412,PRODUTOS P/ PASSAR ROUPAS,S
413,INSETICIDAS,G
414,APARELHOS E REFIL,S
415,INSETICIDAS AEROSOIS,S
416,INSETICIDAS LIQUIDOS,S
417,INSETICIDAS SOLIDOS E EM PO,S
418,POLIDORES,G
419,LUSTRA METAIS,S
420,LUSTRA MOVEIS,S
421,CERAS P/ CALCADOS,G
422,POMADAS P/ CALCADOS LIQUIDAS,S
423,POMADASP/ CALCADOS PASTAS,S
424,ACESSORIOS P/ LIMPEZA DE CALCADO,S
425,BAZAR GERAL,D
426,PRODUTOS AUTOMOTIVOS,G
427,ACESSORIOS AUTOMOTIVOS,S
428,BATERIAS AUTOMOTIVAS,S
429,CERAS AUTOMOTIVAS,S
430,DESENGRAXANTES E OLEOS LUBRIFICANTES,S
431,DESODORIZADORES,S
432,ESTOPAS E ESPONJAS,S
433,LIMPADORES E LAVA AUTOS,S
434,PNEUS,S
435,FERRAMENTARIA,G
436,CHUVEIROS E TORNEIRAS,S
437,FERRAGENS,S
438,FERRAMENTAS,S
439,LAMPADAS,S
440,MATERIAL ELETRICO,S
441,MATERIAL HIDRAULICO,S
442,PALHA DE ACO,S
443,COLAS,S
444,ARTIGOS RURAIS,S
445,LINHA INOX,G
446,BAIXELAS,S
447,LINHA SOBREMESA,S
448,PANELAS,S
449,TALHERES,S
450,ALUMINIOS,G
451,JOGOS DE PANELAS,S
452,LEITEIRAS/CANECOS,S
453,PANELAS,S
454,UTILIDADES COZINHA,G
455,ARTIGOS DE MADEIRA,S
456,ESCORREDORES,S
457,"FILTROS EM GERAL, VELA P/ FILTRO",S
458,FOSFORO,S
459,FRUTEIRAS,S
460,PENEIRAS,S
461,VELAS COMUNS,S
462,OUTRAS UTILIDADES COZINHA,S
463,ACESSORIOS PARA CAFE,G
464,COADORES DE PANO,S
465,FILTROS DE PAPEL,S
466,GARRAFA TERMICA,S
467,SUPORTES PARA FILTRO DE PAPEL,S
468,"VIDROS, CRISTAIS, PORCELANA",G
469,APARELHOS DE JANTAR,S
470,COPOS E TACAS,S
471,JARRAS E GARRAFAS,S
472,PRATOS,S
473,"REFRATARIOS, ASSADEIRAS E FORMAS",S
474,PLASTICOS,G
475,"BALDES, CESTOS E BACIAS",S
476,CABIDES,S
477,"FEIRINHA (PLASVALE, PLASUTIL...)",S
478,PLASTICOS EM GERAL,S
479,DESCARTAVEIS,G
480,EMBALAGENS PLASTICAS,S
481,EMBALAGENS TERMICAS,S
482,FILME PVC,S
483,GUARDANAPOS,S
484,PAPEL ALUMINIO/LAMINADO/MANTEIGA,S
485,TOALHA PAPEL,S
486,PALITO DE DENTE,S
487,FESTAS,G
488,COPOS DESCARTAVEIS,S
489,PRATOS DESCARTAVEIS,S
490,TALHERES PLASTICOS,S
491,VELAS ANIVERSARIO,S
492,ACESSORIOS P/ FESTA,S
493,ENCARTELADOS,G
494,ENCARTELADOS COZINHA,S
495,ENCARTELADOS ELETRICO,S
496,ENCARTELADOS FERRAGENS,S
497,ENCARTELADOS FERRAMENTAS,S
498,ENCARTELADOS HIDRAULICO,S
499,ENCARTELADOS MANICURE,S
500,ENCARTELADOS USO PESSOAL,S
501,OUTROS ENCARTELADOS,S
502,LIMPEZA CASEIRA,G
503,ACESSORIOS LIMPEZA DE CASA,S
504,"CORDAS VARAL, VARAL TETO, PREGADORES",S
505,ESCOVAS ROUPAS,S
506,FLANELAS E PANOS DE LIMPEZA,S
