codcfop,descricao,proc_qtde,proc_cupom,cfop_devolucao,situacao_icms_entradas_nf,situacao_icms_saidas_nf,situacao_pis_entradas_nf,situacao_pis_saidas_nf,situacao_cofins_entradas_nf,situacao_cofins_saidas_nf,nao_gera_apuracao_icms,gera_financeiro_auto
6949,OUTRA SAÍDA DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NÃO ESPECIFICADO,S,N,,,791,,,,,,N
6201,DEVOLUCAO DE COMPRA P/ COMERCIALIZACAO,S,N,,,,,,,,,
1933,AQUISICAO DE SERVICO TRIBUT PELO ISSQN,N,N,,,,788,,789,,N,N
2933,AQUISICAO DE SERVICO TRIBUT PELO ISSQN,N,N,,,,,,,,S,N
1653,ENTRADA COMBUSTIVEL CONS FINAL,N,N,,,,,,,,N,
1105,COMPRA PROD ESTAB Q NAO DEVA POR ELE TRANSITAR,S,N,,,,,,,,,
2404,COMPRA MERC SUJ REG SUB TRIB C IMPOS JA RECOLHIDO,S,N,,,,,,,,,
1405,COMPRA MERC DE TERCEIROS SUJEITA A ST,S,N,,,,,,,,,
1403,COMERCIALIZACAO EM OP MERCADORIA SUJEITA REGIME STB,S,S,5411,787,,788,,789,,,
6929,LANC EFETUADO DECORR CUPOM FISCAL,N,N,,,,,,,,,N
1656,VENDA DE GAS,,,,,,,,,,,
1655,"VENDA MERC. REC.TERCEIRO ST.,VENDAS",,,,,,,,,,,
5915,REM P/ CONSERTO,S,N,,,,,,,,,
5101,VENDA PRODUCAO PROPRIA,S,N,5202,,,,,,,,
5102,VENDA PRODUTOS DE TERCEIROS,S,N,,,791,,792,,793,,
5116,VENDA PRODUCAO PROPRIA FUTURA ENTREGA,S,N,,,,,,,,,
5124,IND EFETUADA PARA OUTRA EMPRESA,S,N,,,,,,,,,
5125,IND P/ OUTRA EMPRESA VENDA DIRETA,S,N,,,,,,,,,
5152,TRANSFERENCIA MERC DE TERCEIROS,S,N,,,828,,,,,,
5201,DEVOLUÇAO COMPRAS P/ INDUSTRIALIZAÇÃO,S,N,,,,,,,,,
5202,DEVOLUCAO DE COMPRAS PARA COMERCIALIZACAO DENTRO ESTADO,S,N,,,825,,826,,827,,N
5210,DEVOLUCAO DE COMPRAS P/ UTIL PREST SERVICOS,S,N,,,,,,,,,
5405,VENDA MERC DE TERCEIROS SUJEITA A ST,S,N,5411,,791,,792,,793,,
5411,DEVOLUCAO DE COMPRAS PARA COMERCIALIZACAO DENTRO ESTADO ST,S,N,,,825,,826,,827,,N
5551,VENDA DE BEM DO ATIVO IMOBILIZADO,S,N,,,,,,,,,
5553,DEVOLUC  COMPRA DE BEM ATIVO IMOBILIZADO,S,N,,,,,,,,,
5554,REMESSA DE BEM ATIVO IMOBILIZADO P/FORA,S,N,,,,,,,,,
5902,RETORNO DE MERC IND POR ENCOMENDA,S,N,,,,,,,,,
5901,REMESSA P/ INDUSTIALIZACAO POR ENCOMENDA,S,N,,,,,,,,,
5903,RETORNO DE MERC P/ IND E NAO APLICADA,S,N,,,,,,,,,
5910,REMESSA EM BONIFICACAO,S,N,5411,,865,,866,,867,,N
1202,DEVOLUCAO VENDA MERCADORIA,S,N,,870,,871,,872,,,
2202,DEVOLUCAO DE VENDA,S,N,2202,,,,,,,,
1101,COMPRA PARA IND,S,N,,787,,788,,789,,,
1102,COMPRA P/ COMERCIALIZA,S,N,5202,787,,788,,789,,,S
1111,COMPRA P IND CONSIGNADA,S,N,,,,,,,,,
1113,COMPRA P/ COM CONSIG MERCANTIL,S,N,,,,,,,,,
1116,COMPRA P/ IND ORIG DE ENCOMENDA PARA RECEB FUTURO,S,N,,,,,,,,,
1117,COMPRA P/ COM ORIG DE ENCOMENA P/ REB FUTURO,S,N,,,,,,,,,
1118,COMPRA DE MERC P COM P ADQUIRINETE ORIG ENT VENDED,S,N,,,,,,,,,
1120,COMPRA P IND EM VENDA  RECEB PELO VENDED,S,N,,,,,,,,,
1121,COMPRA P/ COM EM VENDA REB VENDEDOR,S,N,,,,,,,,,
1122,COMPRA P/ IND MERC REM PELO FORNECEDOR,S,N,,,,,,,,,
1124,IND EFETUADA POR OUTRA EMPRESA,S,N,,,,,,,,,
1125,IND EFETUADA POR OUTRA EMPRESA,S,N,,,,,,,,,
1126,COMPRA P/ UTILIZACAO NA PREST DE SERV,S,N,,,,,,,,,
1151,TRANSFERENCIA P/ INDUSTRIALIZACAO,S,N,,,,,,,,,
1152,TRANSFERENCIA MERCADORIA,S,N,,845,,,,,,,
1153,TRANSFERENCIA ENERGIA ELET P DISTRIBUICAO,S,N,,,,,,,,,
1154,TRANSFERENCIA P/ UTILIZACAO PREST SERVICO,S,N,,,,,,,,,
1201,DEVOL VENDA PROD DO ESTABELECIMENTO,S,N,,,,,,,,,
1203,DEVOL VENDA PROD ESTAB DEST ZONA FRANCA MANAUS OU,S,N,,,,,,,,,
1204,DEVOL VEND MERC ADQUIRIDA DE TERCEIROS DEST ZONA F,S,N,,,,,,,,,
1205,ANULACAO DE VALOR RELATIVO PREST SERV COMUNICACAO,S,N,,,,,,,,,
1206,ANULACAO VALOR RELATIVO PREST SERV TRANSPORTE,S,N,,,,,,,,,
1207,ANULACAO VALOR RELATIVO VENDA ENERGIA ELETRICA,S,N,,,,,,,,,
1208,DEVOL PROD ESTAB REMET EM TRANSFERENCIA,S,N,,,,,,,,,
1209,DEVOL MERC ADQUIRIDA TERCEIROS REMT TRANSFERENCIA,S,N,,,,,,,,,
1251,COMPRA ENERGIA ELET P/ DISTRIB COMERCIALIZACAO,S,N,,,,,,,,,
1252,COMPRA ENERGIA ELET INDUSTRIAL,S,N,,,,,,,,,
1253,COMPRA ENERGIA ELET COMERCIAL,N,N,,787,,788,,789,,N,
1254,COMPRA ENERGIA ELET ESTAB PRESTADOR SERVICO,S,N,,,,,,,,,
1255,COMPRA ENERGIA ELET ESTAB PREST SERV COMUNICACAO,S,N,,,,,,,,,
1256,COMPRA ENERGIA ELET ESTAB PROD RURAL,S,N,,,,,,,,,
1257,COMPRA ENERGIA ELET P/ CONSUMO DEMANDA CONTRATADA,S,N,,,,,,,,,
1302,AQUISICAO SERV COMUNIC ESTAB INDUSTRIAL,S,N,,,,,,,,,
1303,AQUISICAO SERV COMUNICAO ESTAB COMERCIAL,S,N,,,,,,,,N,
1304,AQUISICAO SERV COMUNIC POR SERV TRANSPORTE,S,N,,,,,,,,,
1305,AQUISICAO SERV COMUNIC POR GERADORA ENERGIA ELETRI,S,N,,,,,,,,,
1306,AQUISICAO SERV COMUNICACAO P/ PROD RURAL,S,N,,,,,,,,,
1351,AQUISCAO SERV TRANSP EXECUCAO SERV MESMA NATUREZA,S,N,,,,,,,,,
1352,AQUISICAO SERV TRANS ESTAB INDUSTRIAL,S,N,,,,,,,,,
1353,AQUISICAO SERV TRANSP ESTAB COMERCIAL,S,N,,,,788,,789,,,
1355,AQUISICAO SERV TRANSP ESTAB DIST ENERGIA ELETRICA,S,N,,,,,,,,,
1356,AQUISCAO SERV TRANSPORTE ESTAB PROD RURAL,S,N,,,,,,,,,
1401,COMPRA P/ IND C/ MERC SUJEITA REG SUB TRIBUTARIA,S,N,,787,,788,,789,,,
1406,COMPRA BEM ATIVO IMOB SUJITA SUB TRIBUTARIA,S,N,,,,,,,,,
1407,CONSUMO,N,N,,787,,,,,,S,
1408,TRANS P/ IND C/ MERC SUJEITA SUB TRIBUTARIA,S,N,,,,,,,,,
1410,DEVOL VENDA PROD PROPRIA  MERC SUJ SUB TRIBUTARIA,S,N,,,,,,,,,
1411,DEVOL VENDA MERC ADQUIRIDA TERC C/ MERC SUJEITA,S,S,,870,,871,,872,,,
1414,RETORNO DE PROD REMET P/ VENDA,S,N,,,,,,,,,
1415,RETORNO PROD REB TERC REM P/ VENDA,S,N,,,,,,,,,
1451,RETORNO ANIMAL ESTAB PRODUTOR,S,N,,,,,,,,,
1452,RETORNO INSUNO NAO UTILIZADO NA PRODUCAO,S,N,,,,,,,,,
1501,ENTRADA MERC RECEB P/ EXPORTACAO,S,N,,,,,,,,,
1504,ENTRADA DEC DEVOL MERC REM P/ EXP,S,N,,,,,,,,,
1551,COMPRA DE BEM P/ ATIVO IMOBILIZADO,N,N,,,,,,,,,
1552,TRANSF DE BEM DO ATIVO IMOBILIZADO,S,N,,,,,,,,,
1553,DEVOL VENDA DE BEM ATIVO IMOBILIZADO,S,N,,,,,,,,,
1555,ENTRADA BEM ATIVO IMOB DE TERC REMET P/ ESTABELECI,S,N,,,,,,,,,
1556,COMPRA MAT P/ USO CONSUMO,N,N,,787,,,,,,N,N
1557,TRANS MAT PARA CONSUMO,S,N,,,,,,,,,
1601,RECEB POR TRANSF CRED ICMS,S,N,,,,,,,,,
1602,RECEB POR TRANS DE SALDO CREDOR ICMS,S,N,,,,,,,,,
1603,RESSARCIMENTO DE ICMS POR SUBST TRIBUTARIA,N,N,,,,,,,,,
1902,RETORNO MERC REMET P/ IND POR ENCOMENDA,S,N,,,,,,,,,
1903,ENTRAD MERC REMET P/ IND E NAO APLIC PROCESSO,S,N,,,,,,,,,
1904,RETORNO REM P/ VENDA FORA DO ESTABELECIMENTO,S,N,,,,,,,,,
1905,ENTRADA MERC RECEB P/ DEP EM DEP FECHADO,S,N,,,,,,,,,
1906,RETORNO MERC REMETIDA P/ DEP FECHADO,S,N,,,,,,,,,
1907,RETORNO SIMB MERC REMT P/ DEP FECHADO,S,N,,,,,,,,,
1908,ENT DE BEM POR CONTA CONTRAT DE COMODATO,S,N,,,,,,,,,
