codcfop,descricao,proc_qtde,proc_cupom,cfop_devolucao,situacao_icms_entradas_nf,situacao_icms_saidas_nf,situacao_pis_entradas_nf,situacao_pis_saidas_nf,situacao_cofins_entradas_nf,situacao_cofins_saidas_nf,nao_gera_apuracao_icms,gera_financeiro_auto
5414,REMES PROD ESTAB P/ VEND FORA SUJ R S TR,S,N,,,,,,,,,
5415,REMES MERC ADQ TERC P/ VEND FORA EST S R SUB TRI,S,N,,,,,,,,,
5501,REMS PROD ESTAB C FIM ESPECIFICO DE EXPORTACAO,S,N,,,,,,,,,
5502,REMES MERC ADQ DE TERC C FIM ESP EXPORTACAO,S,N,,,,,,,,,
5503,DEVOL MERC RECEB C FIM ESPECIF EXPORTACAO,S,N,,,,,,,,,
5552,TRANSF BEM ATIVO IMOBILIZADO,S,N,,,,,,,,,
5556,DEVOL COMPRA MATERIAL DE USO OU CONSUMO,S,N,,,,,,,,,
5557,TRANSF DE MATERIAL USO OU CONSUMO,S,N,,,828,,,,,,N
5601,TRANSF CREDITO ICMS ACUMULADO,S,N,,,,,,,,,
5602,TRANSFERENCIA SALDO CREDOR ICMS P OUTRO ESTAB,S,N,,,,,,,,,
5603,RESSARCIMENTO DE ICMS POR SUB TRIBUTARIA,S,N,,,,,,,,,
5905,REMESSA P/ DEPOSITO FECHADO OU ARMA GERAL,S,N,,,,,,,,,
5907,RETORNO SIMB MERC DEPOS EM DEP FECHADO,S,N,,,,,,,,,
5908,REMES DE BEM POR CONT CONTRAT COMODATO,S,N,,,,,,,,,
5909,RETORNO BEM RECEB POR CONT CONTRAT  COMO,S,N,,,,,,,,,N
5911,REMESSA AMOSTRA GRATIS,S,N,,,,,,,,,
5912,REMES MERC OU BEM P DEMONSTRACAO,S,N,,,,,,,,,
5914,REMES MERC BEM P EXPOSICAO OU FEIRA,S,N,,,,,,,,,
5916,RETORNO MERC OU BEM RECEB P CONSERTO,S,N,,,,,,,,,
5917,REMES MERC CONSIG MERCANTIL OU INDUSTRIAL,S,N,,,,,,,,,
5918,DEVOL MERC RECEB EM CONSIG MERCANT OU INDUSTRIAL,S,N,,,,,,,,,
5919,DEVOL SIMB MERC VEND EM PROCES IND,S,N,,,,,,,,,
5921,DEVOL VASILHAME OU SACARIA,S,N,,,,,,,,,
5922,LANC EFET A TITU SIMPLES FAT DECOR VEND,S,N,,,,,,,,,
5923,REMES MERC POR CONT ORD TERC EM VENDA,S,N,,,,,,,,,
5924,REMES P IND POR CONT E ORD ADQ  MERC,S,N,,,,,,,,,
5926,LANC EFET A TITU RECLASSIF MERC DECOR FORM KIT,S,N,,,,,,,,,N
5927,LANC EFET A TITU BAIXA ESTOQ DECOR PERDA,S,N,,,1351,,,,,,N
5928,LANC EFET A TITU BAIXA ESTOQ DECOR ENCER ATIVID EM,S,N,,,,,,,,,
5929,LANC EFET DECOR EMIS DOC FISCAL RELAT A OP,N,S,,,,,,,,,N
5110,VENDA MERC ADQ TERC DEST ZONA FRANCA E O,S,N,,,,,,,,,
5111,VENDA PROD ESTAB REMET ANT EM CONSIG IND,S,N,,,,,,,,,
5112,VENDA MERC ADQ TERC REMET ANT CONDIG IND,S,N,,,,,,,,,
5113,VENDA PROD ESTAB REMET ANT EMCONSIG MERC,S,N,,,,,,,,,
5114,VENDA MERC ADQ TERC REM ANT EM CONSIG ME,S,N,,,,,,,,,
5115,VENDA MERC ADQ DE TERC REB ANT EM CONSIG MERCANTIL,S,N,,,,,,,,,
5118,VENDA PROD ESTAB ENTR AO DEST POR CONT A,S,N,,,,,,,,,
5119,VENDA MERC ADQ TERC ENTR DEST POR CON AD,S,N,,,,,,,,,
5120,VENDA MERC ADQ TERC ENTR AO DEST PELO VE,S,N,,,,,,,,,
5122,VENDA PROD ESTAB REMET P/ IND,S,N,,,,,,,,,
5123,VENDA MERC ADQ RECEB TERC REMET IND,S,N,,,,,,,,,
5151,TRANSFERENCIA DE PROD DO ESTAB,S,N,,,,,,,,,
5153,TRANSFERENCIA DE ENERGIA ELETRICA,S,N,,,,,,,,,
5155,TRANSF PROD ESTAB Q NAO DEVA TRANSITAR,S,N,,,,,,,,,
5156,TRANSFERENCIA MERC ADQ TERC Q NAO DEVA TRANSITAR,S,N,,,,,,,,,
5206,ANULACAO DE VALOR RELAT A SERV TRANSPORT,S,N,,,,,,,,,
5207,ANULACAO VALOR RELAT A COMPR ENER ELETRI,S,N,,,,,,,,,
5208,DEVOL MERC RECEB EM TRANSF P/ INDUSTRIAL,S,N,,,,,,,,,
5209,DEVOL MERC RECEB EM TRANSF P/ COMERCIALI,S,N,,,,,,,,,
5251,VENDA ENERG ELET P/ DISTRIB OU COMERCIAL,S,N,,,,,,,,,
5252,VENDA DE ENERGIA ELETRICA P/ ESTAB INDUS,S,N,,,,,,,,,
5253,VENDA ENERGIA ELET P/ ESTAB COMERCIAL,S,N,,,,,,,,,
5254,VENDA ENERG ELET P/ ESTAB PREST SERV TRANSPORTE,S,N,,,,,,,,,
5255,VENDA ENERG ELET P/ ESTAB PREST SERV COMUNICACAO,S,N,,,,,,,,,
5256,VENDA ENERG ELET P/ ESTAB PROD RURAL,S,N,,,,,,,,,
5257,VENDA ENERG ELET P/ CONSUMO DEMANDA CONTRATADA,S,N,,,,,,,,,
5258,VENDA ENERG ELET E NAO CONTRIBUINTE,S,N,,,,,,,,,
5301,PREST SERV COMUNIC P/ EXEC SERV MESMA NATUREZA,S,N,,,,,,,,,
5302,PREST SERV COMUNIC A ESTAB IND,S,N,,,,,,,,,
5303,PREST SERV COMUNIC A ESTAB COMERCIAL,S,N,,,,,,,,,
5304,PREST SERV COMUNIC ESTAB PREST SERV TRANSP,S,N,,,,,,,,,
5305,PREST SERV COMUNIC ESTAB GERAD ENERG ELE,S,N,,,,,,,,,
5306,PREST SERV COMUNIC  ESTAB PROD RURAL,S,N,,,,,,,,,
5307,PREST SERV COMUNIC A NAO CONTRIBUINTE,S,N,,,,,,,,,
5351,PREST SERV TRANSP P/ EXEC SERV MESMA NATUREZA,S,N,,,,,,,,,
5408,TRANSF PROD ESTAB C/ PDROD SUJ REG TRIBU,S,N,,,,,,,,,
5931,LANC EFET DECOR RESP RETENCAO IMPOST POR SUB TRIB,S,N,,,,,,,,,
5932,PREST SERV TRANSP INIC EM UNID DA FEDE DIVERSA,S,N,,,,,,,,,
5949,REMESSA EM GARANTIA;OUTRA SAIDA DE MERC OU PREST SERV N ESPE,N,N,5411,,791,,792,,793,N,N
2910,ENTRADA BONIFICACAO,S,N,,794,,,,,,,N
6917,REMES MERC EM CONSIG MECANTIL OU INDUSTR,S,N,,,,,,,,,
6922,LANC EFET A TIT SIMPLES FAT DECOR VENDA P ENT FUTU,S,N,,,,,,,,,
6202,DEVOLUCAO DE COMPRAS PARA COMERCIALIZACAO FORA ESTADO,S,N,,,825,,826,,827,,N
1929,AVISTA,,,,,,,,,,,
1927,5927-LANC EFET A TITU BAIXA ESTOQ DECOR PERDA,,,,,,,,,,,
5117,VENDA MERC ADIQ TERCEIROS ENTREGA FUTURA,S,N,,,,,,,,,
1354,AQUISICAO SERV TRANS ESTAB PREST SERV COMUNICAO,S,N,,,,,,,,,
1409,TRANS P/ COM C/ MERC SUJEITA SUB TRIBUTARIA,S,N,,787,,,,,,,
1503,ENTRADA DECORRENTE DE DEVOL P/ EXPORTACAO,S,N,,,,,,,,,
1554,RETORNO BEM DO ATIVO IMOB REMET FORA EST,S,N,,,,,,,,,
1901,ENTRADA P/ IND POR ENCOMENDA,S,N,,,,,,,,,
2302,AQUISICAO DE SERV COMINIC POR ESTAB INDUSTRIAL,S,N,,,,,,,,,
2353,AQUISICAO SE SERV TRANSP POR ESTB COMERCIAL,S,N,,787,,788,,789,,,
2407,COMPRA MERC P/ USO SUJEITA REG SUB TRIBU,N,N,,,,,,,,S,
2501,ENTRADA MERC RECEB C/ FIM ESPECIF DE EXPORTACAO,S,N,,,,,,,,,
2554,RETORNO DE BEM DO ATIVO IMOB REMET P/ USO FORA EST,S,N,,,,,,,,,
2903,ENTRADA DE MERC REMET P/ IND E NAO APL PROCESSO,S,N,,,,,,,,,
5451,REMESSA ANIMAL INSUMO P ESTAB PRODUTOR,S,N,,,,,,,,,
5555,DEVOL BEM ATIVO IMOB TERC P/ USO NO ESTABELECIMENT,S,N,,,,,,,,,
5906,RETORNO MERC DEPOSITADA EM DEP FECH OU ARMA GERAL,S,N,,,,,,,,,
5913,RETORNO MERC OU BEM RECEB P DEMONSTRACAO,S,N,,,,,,,,,
5920,REMESSA VASILHAME OU SACARIA,S,N,,,,,,,,,
5925,RETORNO MERC RECEB P/ IND POR CONT E ORD,S,N,,,,,,,,,
5105,VENDA PROD ESTAB Q NAO DEVA POR ELE TRANSITAR,S,N,5202,,,,,,,,
