codigo
T01
T02
T03
T04
T06
T07
T08
T09
IST
NTB
STB
T05
T56
T57
T58
T59
T60
T61
T63
T64
T65
T66
T62
T39
T13
T21
T10
T25
T12
T22
T23
T14
T55
